Customer ID,Number Orders,Total Spent,Total Items,Days as customer,Days without purchase,Loyal Customer,Many Orders,Big Spender,Dormant Customer,RFMScore
H1165,3,556.0,3.0,366.0,60.0,4,3,3,No,433
H1168,3,655.0,3.0,335.0,29.0,4,3,3,No,433
H1169,5,824.0,5.0,335.0,213.0,3,4,4,No,344
H1170,3,396.0,3.0,366.0,305.0,2,3,3,Yes,233
H1172,4,529.0,4.0,244.0,29.0,4,4,3,No,443
H1174,7,1094.0,7.0,366.0,29.0,4,4,4,No,444
H1180,1,183.0,1.0,394.0,394.0,1,1,2,Yes,112
H1182,8,1715.0,8.0,274.0,1.0,4,4,4,No,444
H1183,1,596.0,1.0,121.0,121.0,1,1,3,No,113
H1186,1,111.0,1.0,425.0,425.0,1,1,1,Yes,111
H1190,5,986.0,5.0,305.0,213.0,3,4,4,No,344
H1195,2,337.0,2.0,394.0,305.0,2,2,3,Yes,223
H1196,2,444.0,2.0,29.0,29.0,1,2,3,No,123
H1197,1,193.0,1.0,274.0,274.0,2,1,2,No,212
H1203,6,1558.0,6.0,425.0,366.0,1,4,4,Yes,144
H1208,1,213.0,1.0,213.0,213.0,3,1,2,No,312
H1210,1,574.0,1.0,182.0,182.0,1,1,3,No,113
H1211,6,1866.0,6.0,366.0,29.0,4,4,4,No,444
H1214,1,226.0,1.0,274.0,274.0,2,1,2,No,212
H1215,1,61.0,1.0,366.0,366.0,1,1,1,Yes,111
H1221,2,1033.0,2.0,305.0,244.0,3,2,4,No,324
H1224,3,1670.0,3.0,366.0,305.0,2,3,4,Yes,234
H1227,2,142.0,2.0,366.0,366.0,1,2,1,Yes,121
H1228,2,390.0,2.0,335.0,274.0,2,2,3,No,223
H1231,3,473.0,3.0,244.0,1.0,4,3,3,No,433
H1237,3,449.0,3.0,274.0,29.0,4,3,3,No,433
H1239,1,426.0,1.0,335.0,335.0,1,1,3,Yes,113
H1246,1,114.0,1.0,305.0,305.0,2,1,1,Yes,211
H1249,1,118.0,1.0,213.0,213.0,3,1,1,No,311
H1250,3,260.0,3.0,366.0,60.0,4,3,2,No,432
H1251,5,695.0,5.0,394.0,60.0,4,4,3,No,443
H1253,1,1191.0,2.0,121.0,121.0,1,1,4,No,114
H1254,1,852.0,1.0,1.0,1.0,1,1,4,No,114
H1258,1,222.0,1.0,1.0,1.0,1,1,2,No,112
H1264,1,154.0,1.0,305.0,305.0,2,1,2,Yes,212
H1265,7,732.0,7.0,425.0,1.0,4,4,3,No,443
H1267,10,1319.0,10.0,335.0,29.0,4,4,4,No,444
H1270,4,554.0,4.0,425.0,213.0,3,4,3,No,343
H1272,2,1099.0,2.0,121.0,60.0,1,2,4,No,124
H1274,2,689.0,2.0,305.0,274.0,2,2,3,No,223
H1275,1,184.0,1.0,274.0,274.0,2,1,2,No,212
H1276,3,466.0,3.0,394.0,213.0,3,3,3,No,333
H1279,5,946.0,5.0,366.0,29.0,4,4,4,No,444
H1282,1,71.0,1.0,366.0,366.0,1,1,1,Yes,111
H1283,2,66.0,2.0,305.0,305.0,2,2,1,Yes,221
H1288,3,188.0,3.0,366.0,274.0,2,3,2,No,232
H1291,3,401.0,3.0,274.0,91.0,3,3,3,No,333
H1292,2,509.0,2.0,366.0,29.0,4,2,3,No,423
H1293,6,693.0,6.0,335.0,152.0,3,4,3,No,343
H1294,2,813.0,2.0,366.0,366.0,1,2,4,Yes,124
H1295,1,79.0,1.0,425.0,425.0,1,1,1,Yes,111
H1298,4,583.0,4.0,366.0,274.0,2,4,3,No,243
H1302,1,232.0,1.0,244.0,244.0,3,1,2,No,312
H1304,1,153.0,1.0,1.0,1.0,1,1,2,No,112
H1305,1,64.0,1.0,305.0,305.0,2,1,1,Yes,211
H1306,3,314.0,3.0,305.0,60.0,4,3,2,No,432
H1307,1,93.0,1.0,394.0,394.0,1,1,1,Yes,111
H1313,1,445.0,1.0,29.0,29.0,1,1,3,No,113
H1314,4,414.0,4.0,394.0,29.0,4,4,3,No,443
H1315,1,398.0,1.0,1.0,1.0,1,1,3,No,113
H1316,1,139.0,1.0,60.0,60.0,1,1,1,No,111
H1317,1,391.0,1.0,60.0,60.0,1,1,3,No,113
H1318,1,227.0,1.0,60.0,60.0,1,1,2,No,112
H1319,1,1213.0,1.0,213.0,213.0,3,1,4,No,314
H1320,1,240.0,1.0,305.0,305.0,2,1,2,Yes,212
H1321,1,146.0,1.0,121.0,121.0,1,1,1,No,111
H1322,1,662.0,1.0,182.0,182.0,1,1,3,No,113
H1323,3,344.0,3.0,305.0,305.0,2,3,3,Yes,233
H1324,1,200.0,1.0,305.0,305.0,2,1,2,Yes,212
H1325,1,146.0,1.0,121.0,121.0,1,1,1,No,111
H1326,1,53.0,1.0,274.0,274.0,2,1,1,No,211
H1327,2,198.0,2.0,274.0,274.0,2,2,2,No,222
H1329,1,56.0,1.0,305.0,305.0,2,1,1,Yes,211
H1330,1,371.0,1.0,305.0,305.0,2,1,3,Yes,213
H1331,1,70.0,1.0,305.0,305.0,2,1,1,Yes,211
H1333,1,164.0,1.0,274.0,274.0,2,1,2,No,212
H1334,1,113.0,1.0,335.0,335.0,1,1,1,Yes,111
H1335,3,352.0,3.0,213.0,152.0,3,3,3,No,333
H1336,1,411.0,1.0,425.0,425.0,1,1,3,Yes,113
H1338,1,909.0,1.0,152.0,152.0,1,1,4,No,114
H1340,3,481.0,3.0,305.0,244.0,3,3,3,No,333
H1341,1,400.0,1.0,274.0,274.0,2,1,3,No,213
H1342,1,199.0,1.0,213.0,213.0,3,1,2,No,312
H1343,1,136.0,1.0,335.0,335.0,1,1,1,Yes,111
H1344,2,565.0,2.0,425.0,305.0,2,2,3,Yes,223
H1345,2,2068.0,2.0,305.0,305.0,2,2,4,Yes,224
L1004,1,240.0,1.0,305.0,305.0,2,1,2,Yes,212
L1011,1,94.0,1.0,29.0,29.0,1,1,1,No,111
L1014,2,228.0,2.0,394.0,394.0,1,2,2,Yes,122
L1016,1,90.0,1.0,425.0,425.0,1,1,1,Yes,111
L1017,1,141.0,1.0,274.0,274.0,2,1,1,No,211
L1025,1,305.0,1.0,29.0,29.0,1,1,2,No,112
L1027,1,218.0,1.0,244.0,244.0,3,1,2,No,312
L1038,2,433.0,2.0,182.0,182.0,1,2,3,No,123
L1044,1,45.0,1.0,60.0,60.0,1,1,1,No,111
L1045,1,393.0,1.0,366.0,366.0,1,1,3,Yes,113
L1051,2,585.0,2.0,305.0,244.0,3,2,3,No,323
L1057,1,397.0,1.0,274.0,274.0,2,1,3,No,213
L1060,1,76.0,1.0,425.0,425.0,1,1,1,Yes,111
L1063,2,216.0,2.0,335.0,335.0,1,2,2,Yes,122
L1072,3,874.0,3.0,121.0,1.0,1,3,4,No,134
L1073,1,336.0,1.0,305.0,305.0,2,1,2,Yes,212
L1074,1,55.0,1.0,60.0,60.0,1,1,1,No,111
L1076,13,2759.0,13.0,425.0,29.0,4,4,4,No,444
L1078,1,73.0,1.0,121.0,121.0,1,1,1,No,111
L1080,1,300.0,1.0,274.0,274.0,2,1,2,No,212
L1086,4,1211.0,4.0,335.0,152.0,3,4,4,No,344
L1088,1,478.0,1.0,121.0,121.0,1,1,3,No,113
L1097,2,1062.0,2.0,29.0,29.0,1,2,4,No,124
L1098,6,629.0,6.0,335.0,274.0,2,4,3,No,243
L1101,5,949.0,5.0,305.0,29.0,4,4,4,No,444
L1104,3,509.0,3.0,335.0,274.0,2,3,3,No,233
L1105,1,102.0,1.0,1.0,1.0,1,1,1,No,111
L1110,1,157.0,1.0,274.0,274.0,2,1,2,No,212
L1115,2,437.0,2.0,244.0,244.0,3,2,3,No,323
L1116,3,1116.0,3.0,213.0,1.0,4,3,4,No,434
L1117,2,173.0,2.0,425.0,425.0,1,2,2,Yes,122
L1121,2,586.0,2.0,394.0,60.0,4,2,3,No,423
L1122,1,169.0,1.0,335.0,335.0,1,1,2,Yes,112
L1124,2,110.0,2.0,29.0,29.0,1,2,1,No,121
L1125,1,287.0,1.0,213.0,213.0,3,1,2,No,312
L1126,13,2083.0,13.0,425.0,335.0,1,4,4,Yes,144
L1130,1,390.0,1.0,91.0,91.0,1,1,3,No,113
L1131,1,419.0,1.0,244.0,244.0,3,1,3,No,313
L1134,1,107.0,1.0,425.0,425.0,1,1,1,Yes,111
L1137,2,164.0,2.0,394.0,366.0,1,2,2,Yes,122
L1142,1,311.0,1.0,29.0,29.0,1,1,2,No,112
L1143,1,61.0,1.0,60.0,60.0,1,1,1,No,111
L1144,1,65.0,1.0,366.0,366.0,1,1,1,Yes,111
L1146,1,254.0,1.0,244.0,244.0,3,1,2,No,312
L1150,1,82.0,1.0,91.0,91.0,1,1,1,No,111
L1154,1,464.0,1.0,366.0,366.0,1,1,3,Yes,113
L1155,2,434.0,2.0,305.0,305.0,2,2,3,Yes,223
L1157,1,47.0,1.0,394.0,394.0,1,1,1,Yes,111
L1161,1,386.0,1.0,305.0,305.0,2,1,3,Yes,213
L1208,1,68.0,1.0,244.0,244.0,3,1,1,No,311
L1211,4,1020.0,4.0,366.0,121.0,3,4,4,No,344
L1215,1,76.0,1.0,213.0,213.0,3,1,1,No,311
L1218,1,59.0,1.0,29.0,29.0,1,1,1,No,111
L1227,1,574.0,1.0,121.0,121.0,1,1,3,No,113
L1230,8,1238.0,8.0,425.0,274.0,2,4,4,No,244
L1238,3,134.0,3.0,305.0,305.0,2,3,1,Yes,231
L1240,4,670.0,4.0,394.0,29.0,4,4,3,No,443
L1241,2,116.0,2.0,394.0,394.0,1,2,1,Yes,121
L1243,4,442.0,4.0,366.0,213.0,3,4,3,No,343
L1244,1,56.0,1.0,274.0,274.0,2,1,1,No,211
L1247,5,280.0,5.0,305.0,1.0,4,4,2,No,442
L1256,2,239.0,2.0,274.0,182.0,3,2,2,No,322
L1259,2,62.0,2.0,305.0,305.0,2,2,1,Yes,221
L1261,6,882.0,6.0,394.0,29.0,4,4,4,No,444
L1265,2,150.0,2.0,274.0,274.0,2,2,2,No,222
L1266,2,386.0,2.0,274.0,274.0,2,2,3,No,223
L1271,1,71.0,1.0,366.0,366.0,1,1,1,Yes,111
L1273,2,173.0,2.0,425.0,425.0,1,2,2,Yes,122
L1277,1,146.0,1.0,244.0,244.0,3,1,1,No,311
L1278,2,154.0,2.0,60.0,60.0,1,2,2,No,122
L1279,6,1417.0,6.0,335.0,274.0,2,4,4,No,244
L1285,1,55.0,1.0,29.0,29.0,1,1,1,No,111
L1288,2,261.0,2.0,425.0,305.0,2,2,2,Yes,222
L1291,1,217.0,1.0,29.0,29.0,1,1,2,No,112
L1293,3,518.0,3.0,394.0,366.0,1,3,3,Yes,133
L1294,1,129.0,1.0,213.0,213.0,3,1,1,No,311
L1299,1,523.0,1.0,213.0,213.0,3,1,3,No,313
L1302,1,131.0,1.0,244.0,244.0,3,1,1,No,311
L1304,2,410.0,2.0,335.0,305.0,2,2,3,Yes,223
L1305,1,93.0,1.0,394.0,394.0,1,1,1,Yes,111
L1309,1,2860.0,1.0,213.0,213.0,3,1,4,No,314
L1312,1,56.0,1.0,305.0,305.0,2,1,1,Yes,211
L1313,2,91.0,2.0,305.0,305.0,2,2,1,Yes,221
L1315,1,258.0,1.0,1.0,1.0,1,1,2,No,112
L1316,1,40.0,1.0,305.0,305.0,2,1,1,Yes,211
L1326,3,322.0,3.0,213.0,60.0,4,3,2,No,432
L1332,1,369.0,1.0,425.0,425.0,1,1,3,Yes,113
L1333,1,154.0,1.0,425.0,425.0,1,1,2,Yes,112
L1340,1,311.0,1.0,29.0,29.0,1,1,2,No,112
L1341,2,632.0,2.0,244.0,29.0,4,2,3,No,423
L1343,5,614.0,5.0,366.0,60.0,4,4,3,No,443
L1344,1,70.0,1.0,394.0,394.0,1,1,1,Yes,111
L1349,2,542.0,2.0,274.0,182.0,3,2,3,No,323
L1352,1,404.0,1.0,152.0,152.0,1,1,3,No,113
L1354,8,2700.0,8.0,29.0,1.0,1,4,4,No,144
L1357,3,1169.0,3.0,305.0,274.0,2,3,4,No,234
L1363,1,263.0,1.0,152.0,152.0,1,1,2,No,112
L1365,2,210.0,2.0,274.0,213.0,3,2,2,No,322
L1367,1,107.0,1.0,425.0,425.0,1,1,1,Yes,111
L1371,1,71.0,1.0,366.0,366.0,1,1,1,Yes,111
L1372,1,311.0,1.0,29.0,29.0,1,1,2,No,112
L1373,2,200.0,2.0,274.0,274.0,2,2,2,No,222
L1376,1,111.0,1.0,394.0,394.0,1,1,1,Yes,111
L1377,5,1208.0,5.0,425.0,152.0,3,4,4,No,344
L1380,1,183.0,1.0,394.0,394.0,1,1,2,Yes,112
L1383,1,106.0,1.0,1.0,1.0,1,1,1,No,111
L1386,1,164.0,1.0,29.0,29.0,1,1,2,No,112
L1408,3,442.0,3.0,335.0,60.0,4,3,3,No,433
L1411,1,51.0,1.0,394.0,394.0,1,1,1,Yes,111
L1418,1,100.0,1.0,366.0,366.0,1,1,1,Yes,111
L1421,1,98.0,1.0,335.0,335.0,1,1,1,Yes,111
L1422,2,286.0,2.0,244.0,121.0,3,2,2,No,322
L1429,1,284.0,1.0,366.0,366.0,1,1,2,Yes,112
L1431,2,330.0,2.0,244.0,244.0,3,2,2,No,322
L1432,1,99.0,1.0,335.0,335.0,1,1,1,Yes,111
L1433,3,300.0,3.0,366.0,274.0,2,3,2,No,232
L1434,3,510.0,3.0,366.0,60.0,4,3,3,No,433
L1443,1,155.0,1.0,60.0,60.0,1,1,2,No,112
L1445,6,610.0,6.0,425.0,366.0,1,4,3,Yes,143
L1448,1,236.0,1.0,366.0,366.0,1,1,2,Yes,112
L1450,1,54.0,1.0,425.0,425.0,1,1,1,Yes,111
L1451,4,448.0,4.0,394.0,335.0,1,4,3,Yes,143
L1456,2,249.0,3.0,305.0,305.0,2,2,2,Yes,222
L1457,1,161.0,1.0,425.0,425.0,1,1,2,Yes,112
L1472,1,80.0,1.0,425.0,425.0,1,1,1,Yes,111
L1473,1,75.0,1.0,29.0,29.0,1,1,1,No,111
L1476,2,350.0,2.0,244.0,244.0,3,2,3,No,323
L1477,1,84.0,1.0,305.0,305.0,2,1,1,Yes,211
L1479,1,148.0,1.0,1.0,1.0,1,1,2,No,112
L1488,2,1042.0,2.0,213.0,1.0,4,2,4,No,424
L1489,1,106.0,1.0,29.0,29.0,1,1,1,No,111
L1496,1,71.0,1.0,305.0,305.0,2,1,1,Yes,211
L1498,1,336.0,1.0,305.0,305.0,2,1,2,Yes,212
L1499,3,407.0,3.0,274.0,244.0,3,3,3,No,333
L1502,1,276.0,1.0,244.0,244.0,3,1,2,No,312
L1505,1,721.0,1.0,121.0,121.0,1,1,3,No,113
L1506,2,671.0,2.0,1.0,1.0,1,2,3,No,123
L1507,1,209.0,1.0,121.0,121.0,1,1,2,No,112
L1509,1,140.0,1.0,305.0,305.0,2,1,1,Yes,211
L1514,1,170.0,1.0,274.0,274.0,2,1,2,No,212
L1515,2,358.0,2.0,394.0,1.0,4,2,3,No,423
L1520,1,236.0,1.0,394.0,394.0,1,1,2,Yes,112
L1521,3,1704.0,3.0,366.0,244.0,3,3,4,No,334
L1522,1,41.0,1.0,366.0,366.0,1,1,1,Yes,111
L1527,2,137.0,2.0,244.0,244.0,3,2,1,No,321
L1532,2,1620.0,2.0,244.0,29.0,4,2,4,No,424
L1535,4,648.0,4.0,394.0,1.0,4,4,3,No,443
L1536,1,70.0,1.0,335.0,335.0,1,1,1,Yes,111
L1537,3,384.0,3.0,305.0,305.0,2,3,3,Yes,233
L1538,5,1260.0,5.0,366.0,305.0,2,4,4,Yes,244
L1540,4,397.0,4.0,305.0,274.0,2,4,3,No,243
L1546,1,194.0,1.0,274.0,274.0,2,1,2,No,212
L1558,3,418.0,3.0,366.0,244.0,3,3,3,No,333
L1565,8,1360.0,8.0,394.0,335.0,1,4,4,Yes,144
L1566,1,71.0,1.0,366.0,366.0,1,1,1,Yes,111
L1574,1,125.0,1.0,213.0,213.0,3,1,1,No,311
L1575,2,297.0,2.0,366.0,335.0,1,2,2,Yes,122
L1581,3,974.0,3.0,394.0,335.0,1,3,4,Yes,134
L1582,2,127.0,2.0,366.0,305.0,2,2,1,Yes,221
L1589,1,269.0,1.0,425.0,425.0,1,1,2,Yes,112
L1591,2,391.0,2.0,394.0,305.0,2,2,3,Yes,223
L1594,2,1441.0,2.0,425.0,335.0,1,2,4,Yes,124
L1595,1,1074.0,1.0,152.0,152.0,1,1,4,No,114
L1596,1,271.0,1.0,274.0,274.0,2,1,2,No,212
L1598,2,311.0,2.0,274.0,60.0,4,2,2,No,422
L1600,1,213.0,1.0,213.0,213.0,3,1,2,No,312
L1602,4,353.0,4.0,335.0,29.0,4,4,3,No,443
L1608,2,875.0,2.0,394.0,335.0,1,2,4,Yes,124
L1609,1,107.0,1.0,425.0,425.0,1,1,1,Yes,111
L1611,1,249.0,1.0,213.0,213.0,3,1,2,No,312
L1613,1,93.0,1.0,394.0,394.0,1,1,1,Yes,111
L1614,1,71.0,1.0,274.0,274.0,2,1,1,No,211
L1622,1,200.0,1.0,274.0,274.0,2,1,2,No,212
L1627,1,258.0,1.0,244.0,244.0,3,1,2,No,312
L1631,4,516.0,4.0,425.0,274.0,2,4,3,No,243
L1648,1,51.0,1.0,394.0,394.0,1,1,1,Yes,111
L1650,1,440.0,1.0,335.0,335.0,1,1,3,Yes,113
L1652,1,141.0,1.0,394.0,394.0,1,1,1,Yes,111
L1660,2,110.0,2.0,29.0,29.0,1,2,1,No,121
L1661,1,311.0,1.0,1.0,1.0,1,1,2,No,112
L1662,1,71.0,1.0,366.0,366.0,1,1,1,Yes,111
L1664,2,169.0,2.0,394.0,394.0,1,2,2,Yes,122
L1668,3,712.0,3.0,60.0,1.0,1,3,3,No,133
L1670,1,96.0,1.0,213.0,213.0,3,1,1,No,311
L1687,1,52.0,1.0,29.0,29.0,1,1,1,No,111
L1688,1,264.0,1.0,1.0,1.0,1,1,2,No,112
L1689,1,75.0,1.0,29.0,29.0,1,1,1,No,111
L1690,1,195.0,1.0,60.0,60.0,1,1,2,No,112
L1691,1,164.0,1.0,29.0,29.0,1,1,2,No,112
L1692,1,222.0,1.0,60.0,60.0,1,1,2,No,112
L1693,1,258.0,1.0,1.0,1.0,1,1,2,No,112
L1694,1,164.0,1.0,60.0,60.0,1,1,2,No,112
L1695,1,289.0,1.0,1.0,1.0,1,1,2,No,112
L1697,1,55.0,1.0,60.0,60.0,1,1,1,No,111
L1698,1,227.0,1.0,60.0,60.0,1,1,2,No,112
L1699,1,73.0,1.0,60.0,60.0,1,1,1,No,111
L1700,1,356.0,1.0,60.0,60.0,1,1,3,No,113
L1701,1,341.0,1.0,1.0,1.0,1,1,3,No,113
L1702,1,306.0,1.0,60.0,60.0,1,1,2,No,112
L1703,1,98.0,1.0,29.0,29.0,1,1,1,No,111
L1704,1,55.0,1.0,60.0,60.0,1,1,1,No,111
L1705,1,139.0,1.0,60.0,60.0,1,1,1,No,111
L1706,1,231.0,1.0,60.0,60.0,1,1,2,No,112
L1707,1,117.0,1.0,60.0,60.0,1,1,1,No,111
L1708,2,622.0,2.0,29.0,29.0,1,2,3,No,123
L1709,1,311.0,1.0,1.0,1.0,1,1,2,No,112
L1710,1,248.0,1.0,1.0,1.0,1,1,2,No,112
L1711,1,93.0,1.0,1.0,1.0,1,1,1,No,111
L1712,1,55.0,1.0,60.0,60.0,1,1,1,No,111
L1714,1,956.0,1.0,91.0,91.0,1,1,4,No,114
L1715,1,264.0,1.0,335.0,335.0,1,1,2,Yes,112
L1716,2,180.0,2.0,274.0,274.0,2,2,2,No,222
L1718,1,234.0,1.0,244.0,244.0,3,1,2,No,312
L1720,1,146.0,1.0,182.0,182.0,1,1,1,No,111
L1721,1,192.0,1.0,121.0,121.0,1,1,2,No,112
L1722,1,84.0,1.0,274.0,274.0,2,1,1,No,211
L1723,1,3406.0,1.0,1.0,1.0,1,1,4,No,114
L1724,3,1335.0,3.0,274.0,274.0,2,3,4,No,234
L1725,1,50.0,1.0,394.0,394.0,1,1,1,Yes,111
L1726,1,137.0,1.0,305.0,305.0,2,1,1,Yes,211
L1727,1,120.0,1.0,213.0,213.0,3,1,1,No,311
L1728,11,1252.0,11.0,394.0,274.0,2,4,4,No,244
L1730,9,2597.0,9.0,394.0,152.0,3,4,4,No,344
L1731,4,30496.0,4.0,1.0,1.0,1,4,4,No,144
L1732,2,398.0,2.0,244.0,244.0,3,2,3,No,323
L1733,1,119.0,1.0,274.0,274.0,2,1,1,No,211
L1735,1,101.0,1.0,213.0,213.0,3,1,1,No,311
L1736,2,369.0,2.0,274.0,244.0,3,2,3,No,323
L1737,1,199.0,1.0,121.0,121.0,1,1,2,No,112
L1738,1,1703.0,1.0,1.0,1.0,1,1,4,No,114
L1739,2,186.0,2.0,305.0,305.0,2,2,2,Yes,222
