CustomerID,NumberOrders,TotalSpent,TotalItems,DaysAsCustomer,DaysNoPurchase,LoyalCustomer,ManyOrders,BigSpender,RFMScore
H1046,1,114.0,1.0,215.0,215.0,2,1,1,211
H1048,2,760.0,2.0,245.0,31.0,4,2,4,424
H1051,1,371.0,1.0,215.0,215.0,2,1,3,213
H1059,1,218.0,1.0,123.0,123.0,1,1,2,112
H1061,1,243.0,1.0,215.0,215.0,2,1,2,212
H1065,4,1842.0,4.0,154.0,1.0,1,4,4,144
H1072,1,424.0,1.0,154.0,154.0,1,1,3,113
H1074,2,422.0,2.0,184.0,184.0,2,2,3,223
H1081,2,162.0,2.0,154.0,123.0,1,2,2,122
H1082,2,242.0,2.0,276.0,154.0,3,2,2,322
H1100,3,457.0,3.0,276.0,184.0,3,3,3,333
H1101,1,56.0,1.0,184.0,184.0,2,1,1,211
H1102,4,609.0,4.0,335.0,245.0,1,4,3,143
H1104,7,1354.0,7.0,335.0,123.0,4,4,4,444
H1105,1,269.0,1.0,335.0,335.0,1,1,2,112
H1106,2,349.0,2.0,335.0,304.0,1,2,3,123
H1109,1,464.0,1.0,215.0,215.0,2,1,3,213
H1112,1,32.0,1.0,154.0,154.0,1,1,1,111
H1115,6,1092.0,6.0,276.0,215.0,2,4,4,244
H1116,2,256.0,2.0,215.0,154.0,3,2,2,322
H1118,3,641.0,3.0,304.0,92.0,4,3,3,433
H1119,1,424.0,1.0,154.0,154.0,1,1,3,113
H1128,1,235.0,1.0,123.0,123.0,1,1,2,112
H1130,1,400.0,1.0,215.0,215.0,2,1,3,213
H1131,7,1321.0,7.0,276.0,184.0,3,4,4,344
H1133,1,169.0,1.0,184.0,184.0,2,1,2,212
H1134,2,1333.0,2.0,304.0,1.0,4,2,4,424
H1138,2,142.0,2.0,276.0,276.0,1,2,1,121
H1145,2,400.0,2.0,304.0,184.0,3,2,3,323
H1146,3,1575.0,3.0,304.0,62.0,4,3,4,434
H1147,7,1330.0,7.0,215.0,62.0,4,4,4,444
H1148,1,141.0,1.0,335.0,335.0,1,1,1,111
H1153,2,282.0,2.0,245.0,184.0,3,2,2,322
H1155,1,226.0,1.0,184.0,184.0,2,1,2,212
H1156,1,99.0,1.0,335.0,335.0,1,1,1,111
H1159,18,2791.0,18.0,276.0,123.0,4,4,4,444
H1162,1,269.0,1.0,245.0,245.0,1,1,2,112
H1163,2,108.0,2.0,184.0,184.0,2,2,1,221
H1164,3,151.0,3.0,215.0,154.0,3,3,2,332
H1165,2,386.0,2.0,276.0,276.0,1,2,3,123
H1168,1,269.0,1.0,245.0,245.0,1,1,2,112
H1169,5,824.0,5.0,245.0,123.0,4,4,4,444
H1170,3,396.0,3.0,276.0,215.0,2,3,3,233
H1172,1,262.0,1.0,154.0,154.0,1,1,2,112
H1174,4,953.0,4.0,276.0,31.0,4,4,4,444
H1180,1,183.0,1.0,304.0,304.0,1,1,2,112
H1182,4,809.0,4.0,184.0,31.0,3,4,4,344
H1183,1,596.0,1.0,31.0,31.0,1,1,3,113
H1186,1,111.0,1.0,335.0,335.0,1,1,1,111
H1190,5,986.0,5.0,215.0,123.0,4,4,4,444
H1195,2,337.0,2.0,304.0,215.0,2,2,3,223
H1197,1,193.0,1.0,184.0,184.0,2,1,2,212
H1203,6,1558.0,6.0,335.0,276.0,1,4,4,144
H1208,1,213.0,1.0,123.0,123.0,1,1,2,112
H1210,1,574.0,1.0,92.0,92.0,1,1,3,113
H1211,3,1409.0,3.0,276.0,123.0,4,3,4,434
H1214,1,226.0,1.0,184.0,184.0,2,1,2,212
H1215,1,61.0,1.0,276.0,276.0,1,1,1,111
H1221,2,1033.0,2.0,215.0,154.0,3,2,4,324
H1224,3,1670.0,3.0,276.0,215.0,2,3,4,234
H1227,2,142.0,2.0,276.0,276.0,1,2,1,121
H1228,2,390.0,2.0,245.0,184.0,3,2,3,323
H1231,2,256.0,2.0,154.0,154.0,1,2,2,122
H1237,2,357.0,2.0,184.0,184.0,2,2,3,223
H1239,1,426.0,1.0,245.0,245.0,1,1,3,113
H1246,1,114.0,1.0,215.0,215.0,2,1,1,211
H1249,1,118.0,1.0,123.0,123.0,1,1,1,111
H1250,2,215.0,2.0,276.0,215.0,2,2,2,222
H1251,4,640.0,4.0,304.0,276.0,1,4,3,143
H1253,1,1191.0,2.0,31.0,31.0,1,1,4,114
H1264,1,154.0,1.0,215.0,215.0,2,1,2,212
H1265,6,640.0,6.0,335.0,92.0,4,4,3,443
H1267,5,358.0,5.0,245.0,123.0,4,4,3,443
H1270,4,554.0,4.0,335.0,123.0,4,4,3,443
H1272,1,529.0,1.0,31.0,31.0,1,1,3,113
H1274,2,689.0,2.0,215.0,184.0,3,2,3,323
H1275,1,184.0,1.0,184.0,184.0,2,1,2,212
H1276,3,466.0,3.0,304.0,123.0,4,3,3,433
H1279,4,854.0,4.0,276.0,184.0,3,4,4,344
H1282,1,71.0,1.0,276.0,276.0,1,1,1,111
H1283,2,66.0,2.0,215.0,215.0,2,2,1,221
H1288,3,188.0,3.0,276.0,184.0,3,3,2,332
H1291,3,401.0,3.0,184.0,1.0,3,3,3,333
H1292,1,71.0,1.0,276.0,276.0,1,1,1,111
H1293,6,693.0,6.0,245.0,62.0,4,4,3,443
H1294,2,813.0,2.0,276.0,276.0,1,2,4,124
H1295,1,79.0,1.0,335.0,335.0,1,1,1,111
H1298,4,583.0,4.0,276.0,184.0,3,4,3,343
H1302,1,232.0,1.0,154.0,154.0,1,1,2,112
H1305,1,64.0,1.0,215.0,215.0,2,1,1,211
H1306,2,97.0,2.0,215.0,215.0,2,2,1,221
H1307,1,93.0,1.0,304.0,304.0,1,1,1,111
H1314,3,344.0,3.0,304.0,154.0,3,3,3,333
H1319,1,1213.0,1.0,123.0,123.0,1,1,4,114
H1320,1,240.0,1.0,215.0,215.0,2,1,2,212
H1321,1,146.0,1.0,31.0,31.0,1,1,2,112
H1322,1,662.0,1.0,92.0,92.0,1,1,3,113
H1323,3,344.0,3.0,215.0,215.0,2,3,3,233
H1324,1,200.0,1.0,215.0,215.0,2,1,2,212
H1325,1,146.0,1.0,31.0,31.0,1,1,2,112
H1326,1,53.0,1.0,184.0,184.0,2,1,1,211
H1327,2,198.0,2.0,184.0,184.0,2,2,2,222
H1329,1,56.0,1.0,215.0,215.0,2,1,1,211
H1330,1,371.0,1.0,215.0,215.0,2,1,3,213
H1331,1,70.0,1.0,215.0,215.0,2,1,1,211
H1333,1,164.0,1.0,184.0,184.0,2,1,2,212
H1334,1,113.0,1.0,245.0,245.0,1,1,1,111
H1335,3,352.0,3.0,123.0,62.0,1,3,3,133
H1336,1,411.0,1.0,335.0,335.0,1,1,3,113
H1338,1,909.0,1.0,62.0,62.0,1,1,4,114
H1340,3,481.0,3.0,215.0,154.0,3,3,3,333
H1341,1,400.0,1.0,184.0,184.0,2,1,3,213
H1342,1,199.0,1.0,123.0,123.0,1,1,2,112
H1343,1,136.0,1.0,245.0,245.0,1,1,1,111
H1344,2,565.0,2.0,335.0,215.0,2,2,3,223
H1345,2,2068.0,2.0,215.0,215.0,2,2,4,224
L1004,1,240.0,1.0,215.0,215.0,2,1,2,212
L1014,2,228.0,2.0,304.0,304.0,1,2,2,122
L1016,1,90.0,1.0,335.0,335.0,1,1,1,111
L1017,1,141.0,1.0,184.0,184.0,2,1,1,211
L1027,1,218.0,1.0,154.0,154.0,1,1,2,112
L1038,2,433.0,2.0,92.0,92.0,1,2,3,123
L1045,1,393.0,1.0,276.0,276.0,1,1,3,113
L1051,2,585.0,2.0,215.0,154.0,3,2,3,323
L1057,1,397.0,1.0,184.0,184.0,2,1,3,213
L1060,1,76.0,1.0,335.0,335.0,1,1,1,111
L1063,2,216.0,2.0,245.0,245.0,1,2,2,122
L1072,1,629.0,1.0,31.0,31.0,1,1,3,113
L1073,1,336.0,1.0,215.0,215.0,2,1,3,213
L1076,12,2718.0,12.0,335.0,31.0,4,4,4,444
L1078,1,73.0,1.0,31.0,31.0,1,1,1,111
L1080,1,300.0,1.0,184.0,184.0,2,1,2,212
L1086,4,1211.0,4.0,245.0,62.0,4,4,4,444
L1088,1,478.0,1.0,31.0,31.0,1,1,3,113
L1098,6,629.0,6.0,245.0,184.0,3,4,3,343
L1101,3,693.0,3.0,215.0,215.0,2,3,3,233
L1104,3,509.0,3.0,245.0,184.0,3,3,3,333
L1110,1,157.0,1.0,184.0,184.0,2,1,2,212
L1115,2,437.0,2.0,154.0,154.0,1,2,3,123
L1116,1,610.0,1.0,123.0,123.0,1,1,3,113
L1117,2,173.0,2.0,335.0,335.0,1,2,2,122
L1121,1,469.0,1.0,304.0,304.0,1,1,3,113
L1122,1,169.0,1.0,245.0,245.0,1,1,2,112
L1125,1,287.0,1.0,123.0,123.0,1,1,2,112
L1126,13,2083.0,13.0,335.0,245.0,1,4,4,144
L1130,1,390.0,1.0,1.0,1.0,1,1,3,113
L1131,1,419.0,1.0,154.0,154.0,1,1,3,113
L1134,1,107.0,1.0,335.0,335.0,1,1,1,111
L1137,2,164.0,2.0,304.0,276.0,1,2,2,122
L1144,1,65.0,1.0,276.0,276.0,1,1,1,111
L1146,1,254.0,1.0,154.0,154.0,1,1,2,112
L1150,1,82.0,1.0,1.0,1.0,1,1,1,111
L1154,1,464.0,1.0,276.0,276.0,1,1,3,113
L1155,2,434.0,2.0,215.0,215.0,2,2,3,223
L1157,1,47.0,1.0,304.0,304.0,1,1,1,111
L1161,1,386.0,1.0,215.0,215.0,2,1,3,213
L1208,1,68.0,1.0,154.0,154.0,1,1,1,111
L1211,4,1020.0,4.0,276.0,31.0,4,4,4,444
L1215,1,76.0,1.0,123.0,123.0,1,1,1,111
L1227,1,574.0,1.0,31.0,31.0,1,1,3,113
L1230,8,1238.0,8.0,335.0,184.0,3,4,4,344
L1238,3,134.0,3.0,215.0,215.0,2,3,1,231
L1240,3,615.0,3.0,304.0,123.0,4,3,3,433
L1241,2,116.0,2.0,304.0,304.0,1,2,1,121
L1243,4,442.0,4.0,276.0,123.0,4,4,3,443
L1244,1,56.0,1.0,184.0,184.0,2,1,1,211
L1247,3,165.0,3.0,215.0,215.0,2,3,2,232
L1256,2,239.0,2.0,184.0,92.0,3,2,2,322
L1259,2,62.0,2.0,215.0,215.0,2,2,1,221
L1261,5,784.0,5.0,304.0,276.0,1,4,4,144
L1265,2,150.0,2.0,184.0,184.0,2,2,2,222
L1266,2,386.0,2.0,184.0,184.0,2,2,3,223
L1271,1,71.0,1.0,276.0,276.0,1,1,1,111
L1273,2,173.0,2.0,335.0,335.0,1,2,2,122
L1277,1,146.0,1.0,154.0,154.0,1,1,2,112
L1279,6,1417.0,6.0,245.0,184.0,3,4,4,344
L1288,2,261.0,2.0,335.0,215.0,2,2,2,222
L1293,3,518.0,3.0,304.0,276.0,1,3,3,133
L1294,1,129.0,1.0,123.0,123.0,1,1,1,111
L1299,1,523.0,1.0,123.0,123.0,1,1,3,113
L1302,1,131.0,1.0,154.0,154.0,1,1,1,111
L1304,2,410.0,2.0,245.0,215.0,2,2,3,223
L1305,1,93.0,1.0,304.0,304.0,1,1,1,111
L1309,1,2860.0,1.0,123.0,123.0,1,1,4,114
L1312,1,56.0,1.0,215.0,215.0,2,1,1,211
L1313,2,91.0,2.0,215.0,215.0,2,2,1,221
L1316,1,40.0,1.0,215.0,215.0,2,1,1,211
L1326,1,56.0,1.0,123.0,123.0,1,1,1,111
L1332,1,369.0,1.0,335.0,335.0,1,1,3,113
L1333,1,154.0,1.0,335.0,335.0,1,1,2,112
L1341,1,234.0,1.0,154.0,154.0,1,1,2,112
L1343,4,569.0,4.0,276.0,31.0,4,4,3,443
L1344,1,70.0,1.0,304.0,304.0,1,1,1,111
L1349,2,542.0,2.0,184.0,92.0,3,2,3,323
L1352,1,404.0,1.0,62.0,62.0,1,1,3,113
L1357,3,1169.0,3.0,215.0,184.0,3,3,4,334
L1363,1,263.0,1.0,62.0,62.0,1,1,2,112
L1365,2,210.0,2.0,184.0,123.0,3,2,2,322
L1367,1,107.0,1.0,335.0,335.0,1,1,1,111
L1371,1,71.0,1.0,276.0,276.0,1,1,1,111
L1373,2,200.0,2.0,184.0,184.0,2,2,2,222
L1376,1,111.0,1.0,304.0,304.0,1,1,1,111
L1377,5,1208.0,5.0,335.0,62.0,4,4,4,444
L1380,1,183.0,1.0,304.0,304.0,1,1,2,112
L1408,2,272.0,2.0,245.0,123.0,4,2,2,422
L1411,1,51.0,1.0,304.0,304.0,1,1,1,111
L1418,1,100.0,1.0,276.0,276.0,1,1,1,111
L1421,1,98.0,1.0,245.0,245.0,1,1,1,111
L1422,2,286.0,2.0,154.0,31.0,1,2,2,122
L1429,1,284.0,1.0,276.0,276.0,1,1,2,112
L1431,2,330.0,2.0,154.0,154.0,1,2,3,123
L1432,1,99.0,1.0,245.0,245.0,1,1,1,111
L1433,3,300.0,3.0,276.0,184.0,3,3,2,332
L1434,2,338.0,2.0,276.0,245.0,1,2,3,123
L1445,6,610.0,6.0,335.0,276.0,1,4,3,143
L1448,1,236.0,1.0,276.0,276.0,1,1,2,112
L1450,1,54.0,1.0,335.0,335.0,1,1,1,111
L1451,4,448.0,4.0,304.0,245.0,1,4,3,143
L1456,2,249.0,3.0,215.0,215.0,2,2,2,222
L1457,1,161.0,1.0,335.0,335.0,1,1,2,112
L1472,1,80.0,1.0,335.0,335.0,1,1,1,111
L1476,2,350.0,2.0,154.0,154.0,1,2,3,123
L1477,1,84.0,1.0,215.0,215.0,2,1,1,211
L1488,1,820.0,1.0,123.0,123.0,1,1,4,114
L1496,1,71.0,1.0,215.0,215.0,2,1,1,211
L1498,1,336.0,1.0,215.0,215.0,2,1,3,213
L1499,3,407.0,3.0,184.0,154.0,2,3,3,233
L1502,1,276.0,1.0,154.0,154.0,1,1,2,112
L1505,1,721.0,1.0,31.0,31.0,1,1,4,114
L1507,1,209.0,1.0,31.0,31.0,1,1,2,112
L1509,1,140.0,1.0,215.0,215.0,2,1,1,211
L1514,1,170.0,1.0,184.0,184.0,2,1,2,212
L1515,1,136.0,1.0,304.0,304.0,1,1,1,111
L1520,1,236.0,1.0,304.0,304.0,1,1,2,112
L1521,3,1704.0,3.0,276.0,154.0,3,3,4,334
L1522,1,41.0,1.0,276.0,276.0,1,1,1,111
L1527,2,137.0,2.0,154.0,154.0,1,2,1,121
L1532,1,1309.0,1.0,154.0,154.0,1,1,4,114
L1535,2,329.0,2.0,304.0,276.0,1,2,3,123
L1536,1,70.0,1.0,245.0,245.0,1,1,1,111
L1537,3,384.0,3.0,215.0,215.0,2,3,3,233
L1538,5,1260.0,5.0,276.0,215.0,2,4,4,244
L1540,4,397.0,4.0,215.0,184.0,3,4,3,343
L1546,1,194.0,1.0,184.0,184.0,2,1,2,212
L1558,3,418.0,3.0,276.0,154.0,3,3,3,333
L1565,8,1360.0,8.0,304.0,245.0,1,4,4,144
L1566,1,71.0,1.0,276.0,276.0,1,1,1,111
L1574,1,125.0,1.0,123.0,123.0,1,1,1,111
L1575,2,297.0,2.0,276.0,245.0,1,2,2,122
L1581,3,974.0,3.0,304.0,245.0,1,3,4,134
L1582,2,127.0,2.0,276.0,215.0,2,2,1,221
L1589,1,269.0,1.0,335.0,335.0,1,1,2,112
L1591,2,391.0,2.0,304.0,215.0,2,2,3,223
L1594,2,1441.0,2.0,335.0,245.0,1,2,4,124
L1595,1,1074.0,1.0,62.0,62.0,1,1,4,114
L1596,1,271.0,1.0,184.0,184.0,2,1,2,212
L1598,1,94.0,1.0,184.0,184.0,2,1,1,211
L1600,1,213.0,1.0,123.0,123.0,1,1,2,112
L1602,3,298.0,3.0,245.0,215.0,2,3,2,232
L1608,2,875.0,2.0,304.0,245.0,1,2,4,124
L1609,1,107.0,1.0,335.0,335.0,1,1,1,111
L1611,1,249.0,1.0,123.0,123.0,1,1,2,112
L1613,1,93.0,1.0,304.0,304.0,1,1,1,111
L1614,1,71.0,1.0,184.0,184.0,2,1,1,211
L1622,1,200.0,1.0,184.0,184.0,2,1,2,212
L1627,1,258.0,1.0,154.0,154.0,1,1,2,112
L1631,4,516.0,4.0,335.0,184.0,3,4,3,343
L1648,1,51.0,1.0,304.0,304.0,1,1,1,111
L1650,1,440.0,1.0,245.0,245.0,1,1,3,113
L1652,1,141.0,1.0,304.0,304.0,1,1,1,111
L1662,1,71.0,1.0,276.0,276.0,1,1,1,111
L1664,2,169.0,2.0,304.0,304.0,1,2,2,122
L1670,1,96.0,1.0,123.0,123.0,1,1,1,111
L1714,1,956.0,1.0,1.0,1.0,1,1,4,114
L1715,1,264.0,1.0,245.0,245.0,1,1,2,112
L1716,2,180.0,2.0,184.0,184.0,2,2,2,222
L1718,1,234.0,1.0,154.0,154.0,1,1,2,112
L1720,1,146.0,1.0,92.0,92.0,1,1,2,112
L1721,1,192.0,1.0,31.0,31.0,1,1,2,112
L1722,1,84.0,1.0,184.0,184.0,2,1,1,211
L1724,3,1335.0,3.0,184.0,184.0,2,3,4,234
L1725,1,50.0,1.0,304.0,304.0,1,1,1,111
L1726,1,137.0,1.0,215.0,215.0,2,1,1,211
L1727,1,120.0,1.0,123.0,123.0,1,1,1,111
L1728,11,1252.0,11.0,304.0,184.0,3,4,4,344
L1730,9,2597.0,9.0,304.0,62.0,4,4,4,444
L1732,2,398.0,2.0,154.0,154.0,1,2,3,123
L1733,1,119.0,1.0,184.0,184.0,2,1,1,211
L1735,1,101.0,1.0,123.0,123.0,1,1,1,111
L1736,2,369.0,2.0,184.0,154.0,2,2,3,223
L1737,1,199.0,1.0,31.0,31.0,1,1,2,112
L1739,2,186.0,2.0,215.0,215.0,2,2,2,222
L1740,1,371.0,1.0,335.0,335.0,1,1,3,113
L1741,1,154.0,1.0,31.0,31.0,1,1,2,112
L1742,1,41.0,1.0,276.0,276.0,1,1,1,111
L1744,1,963.0,1.0,123.0,123.0,1,1,4,114
L1746,2,154.0,2.0,215.0,215.0,2,2,2,222
L1747,1,120.0,1.0,215.0,215.0,2,1,1,211
L1748,1,1080.0,3.0,1.0,1.0,1,1,4,114
L1749,1,129.0,1.0,154.0,154.0,1,1,1,111
L1750,1,136.0,1.0,276.0,276.0,1,1,1,111
L1751,1,1257.0,1.0,245.0,245.0,1,1,4,114
L1752,1,941.0,1.0,335.0,335.0,1,1,4,114
L1753,1,125.0,1.0,92.0,92.0,1,1,1,111
L1754,1,175.0,1.0,154.0,154.0,1,1,2,112
L1755,1,101.0,1.0,62.0,62.0,1,1,1,111
L1756,1,154.0,1.0,154.0,154.0,1,1,2,112
L1757,5,4075.0,5.0,304.0,1.0,4,4,4,444
L1758,1,236.0,1.0,276.0,276.0,1,1,2,112
L1759,4,488.0,4.0,335.0,245.0,1,4,3,143
L1760,1,103.0,1.0,215.0,215.0,2,1,1,211
L1761,1,34.0,1.0,184.0,184.0,2,1,1,211
L1762,1,721.0,1.0,1.0,1.0,1,1,4,114
L1763,3,473.0,3.0,215.0,215.0,2,3,3,233
L1764,1,140.0,1.0,62.0,62.0,1,1,1,111
L1765,2,400.0,2.0,184.0,184.0,2,2,3,223
L1767,1,41.0,1.0,215.0,215.0,2,1,1,211
L1769,1,734.0,1.0,62.0,62.0,1,1,4,114
L1770,2,931.0,2.0,31.0,31.0,1,2,4,124
L1771,1,50.0,1.0,215.0,215.0,2,1,1,211
L1772,1,137.0,1.0,123.0,123.0,1,1,1,111
L1773,2,194.0,2.0,215.0,215.0,2,2,2,222
L1774,1,1290.0,1.0,123.0,123.0,1,1,4,114
L1775,1,143.0,1.0,276.0,276.0,1,1,2,112
L1776,1,124.0,1.0,215.0,215.0,2,1,1,211
L1777,1,146.0,1.0,62.0,62.0,1,1,2,112
L1778,1,56.0,1.0,154.0,154.0,1,1,1,111
L1779,1,497.0,1.0,31.0,31.0,1,1,3,113
L1780,2,828.0,2.0,245.0,245.0,1,2,4,124
L1781,1,424.0,1.0,154.0,154.0,1,1,3,113
L1782,1,154.0,1.0,215.0,215.0,2,1,2,212
L1783,2,69.0,2.0,245.0,245.0,1,2,1,121
N1983,1,9800.0,2.0,154.0,154.0,1,1,4,114
N1988,1,6900.0,1.0,154.0,154.0,1,1,4,114
VIP1001,2,168.0,2.0,276.0,184.0,3,2,2,322
VIP1003,2,690.0,2.0,215.0,215.0,2,2,3,223
VIP1006,5,579.0,5.0,276.0,1.0,4,4,3,443
VIP1009,9,1155.0,9.0,276.0,31.0,4,4,4,444
VIP1013,2,135.0,2.0,276.0,184.0,3,2,1,321
VIP1014,6,1635.0,6.0,154.0,62.0,1,4,4,144
VIP1015,2,330.0,2.0,335.0,276.0,1,2,3,123
VIP1016,1,170.0,1.0,276.0,276.0,1,1,2,112
VIP1017,1,70.0,1.0,184.0,184.0,2,1,1,211
VIP1020,1,136.0,1.0,304.0,304.0,1,1,1,111
VIP1021,6,1607.0,6.0,335.0,245.0,1,4,4,144
VIP1022,10,1660.0,10.0,335.0,123.0,4,4,4,444
VIP1023,11,3227.0,11.0,276.0,92.0,4,4,4,444
VIP1025,2,142.0,2.0,276.0,276.0,1,2,1,121
VIP1027,4,911.0,4.0,215.0,123.0,4,4,4,444
VIP1028,2,420.0,2.0,276.0,215.0,2,2,3,223
VIP1029,1,199.0,1.0,184.0,184.0,2,1,2,212
VIP1030,8,779.0,8.0,245.0,62.0,4,4,4,444
VIP1033,2,84.0,2.0,304.0,304.0,1,2,1,121
VIP1035,5,473.0,5.0,304.0,215.0,2,4,3,243
VIP1037,3,564.0,3.0,276.0,123.0,4,3,3,433
VIP1042,1,57.0,1.0,335.0,335.0,1,1,1,111
VIP1043,6,715.0,6.0,335.0,184.0,3,4,4,344
VIP1046,1,70.0,1.0,276.0,276.0,1,1,1,111
VIP1048,5,1334.0,5.0,245.0,154.0,3,4,4,344
VIP1050,6,2212.0,6.0,304.0,123.0,4,4,4,444
VIP1053,1,218.0,1.0,154.0,154.0,1,1,2,112
VIP1056,1,57.0,1.0,215.0,215.0,2,1,1,211
VIP1057,1,116.0,1.0,154.0,154.0,1,1,1,111
VIP1060,1,911.0,1.0,335.0,335.0,1,1,4,114
VIP1061,1,340.0,1.0,304.0,304.0,1,1,3,113
VIP1062,14,3542.0,14.0,276.0,31.0,4,4,4,444
VIP1065,1,205.0,1.0,31.0,31.0,1,1,2,112
VIP1067,5,837.0,5.0,335.0,184.0,3,4,4,344
VIP1068,2,200.0,2.0,245.0,245.0,1,2,2,122
VIP1070,6,983.0,6.0,184.0,123.0,3,4,4,344
VIP1073,7,1692.0,7.0,276.0,31.0,4,4,4,444
VIP1074,1,71.0,1.0,276.0,276.0,1,1,1,111
VIP1081,3,456.0,3.0,1.0,1.0,1,3,3,133
VIP1082,2,205.0,2.0,184.0,184.0,2,2,2,222
VIP1083,2,136.0,2.0,276.0,215.0,2,2,1,221
VIP1085,9,551.0,9.0,304.0,215.0,2,4,3,243
VIP1088,4,985.0,4.0,276.0,31.0,4,4,4,444
VIP1089,3,310.0,3.0,215.0,215.0,2,3,2,232
VIP1090,3,591.0,3.0,215.0,154.0,3,3,3,333
VIP1092,2,153.0,2.0,184.0,184.0,2,2,2,222
VIP1093,8,1706.0,8.0,276.0,123.0,4,4,4,444
VIP1094,5,666.0,5.0,215.0,184.0,3,4,3,343
VIP1098,4,1045.0,4.0,276.0,215.0,2,4,4,244
VIP1100,4,847.0,4.0,276.0,215.0,2,4,4,244
VIP1103,1,125.0,1.0,1.0,1.0,1,1,1,111
VIP1104,2,386.0,2.0,304.0,245.0,1,2,3,123
VIP1105,26,3445.0,26.0,335.0,123.0,4,4,4,444
VIP1106,5,681.0,5.0,335.0,335.0,1,4,3,143
VIP1107,1,126.0,1.0,245.0,245.0,1,1,1,111
VIP1109,1,734.0,1.0,1.0,1.0,1,1,4,114
VIP1114,2,227.0,2.0,276.0,184.0,3,2,2,322
VIP1116,12,1134.0,12.0,335.0,184.0,3,4,4,344
VIP1117,1,229.0,1.0,245.0,245.0,1,1,2,112
VIP1119,7,562.0,7.0,304.0,154.0,3,4,3,343
VIP1121,2,269.0,2.0,276.0,123.0,4,2,2,422
VIP1122,1,146.0,1.0,1.0,1.0,1,1,2,112
VIP1126,1,33.0,1.0,215.0,215.0,2,1,1,211
VIP1130,1,199.0,1.0,184.0,184.0,2,1,2,212
VIP1132,2,880.0,2.0,215.0,62.0,4,2,4,424
VIP1136,2,186.0,2.0,215.0,215.0,2,2,2,222
VIP1138,2,691.0,2.0,31.0,31.0,1,2,3,123
VIP1139,4,950.0,4.0,276.0,184.0,3,4,4,344
